"HSMP_INNB"|"PNU"|"LNNO_ADRES"|"POTVALE_IFRA_HSMP_NM"|"DONG_CNT"|"NMHSH"|"USE_APRV_YMD"|"DRTS_CASCNT"|"BKAG_CASCNT"|"DRTS_RATE"|"BKAG_RATE"|"PCPP"|"OLYR_PCPP"|"SMLYC_PCPP"
"11170120415096"|"1117012900102120041"|"서울특별시 용산구 이촌동 212-41"|"G&D용산드림"|1|26|"2020-12-09"|0|3|0|1|128476190.47619||
"11170120435096"|"1117011900102880000"|"서울특별시 용산구 효창동 288"|"용산데시앙포레"|7|384|"2022-03-28"|0|1|0|1|71111111.111111|58311965.811966|53461538.461538
"11200100000211"|"1120010200110580000"|"서울특별시 성동구 하왕십리동 1058"|"극동미라주"|3|414|"2001-12-14"|0|9|0|1|47671143.671144|39643934.496876|33388278.388278
"11200100000212"|"1120010200110520000"|"서울특별시 성동구 하왕십리동 1052"|"금호베스트빌"|6|458|"2001-10-05"|0|4|0|1|37673076.923077|39094113.48885|
"11200100000214"|"1120010200102580000"|"서울특별시 성동구 하왕십리동 258"|"벽산"|7|822|"1996-06-07"|0|11|0|1|38228171.828172|38112039.312039|39209557.109557
"11200100000215"|"1120010200109900000"|"서울특별시 성동구 하왕십리동 990"|"한신무학"|5|480|"1989-03-30"|0|5|0|1|38809937.888199|38352584.131721|40828375.286041
"11200100000216"|"1120010200110500000"|"서울특별시 성동구 하왕십리동 1050"|"한진해모로"|1|108|"2001-06-18"|0|4|0|1|35240384.615385|30676470.588235|
"11200100000219"|"1120010500108190000"|"서울특별시 성동구 마장동 819"|"왕십리중앙하이츠"|2|170|"1999-05-31"|0|1|0|1|41153846.153846|42989316.239316|37115384.615385
"11200100000220"|"1120010500108170000"|"서울특별시 성동구 마장동 817"|"왕십리삼성"|5|430|"1996-12-14"|0|3|0|1|48539886.039886|46024326.101249|44252136.752137
"11200100000223"|"1120010500107840000"|"서울특별시 성동구 마장동 784"|"세림"|9|811|"1986-12-27"|0|5|0|1|53971794.871795|43075776.374163|38553321.678322
"11200100000224"|"1120010500108180000"|"서울특별시 성동구 마장동 818"|"청계현대"|11|1017|"1998-04-14"|0|15|0|1|42519171.704538|43229984.222165|42149572.649573
"11200100000227"|"1120010600101990000"|"서울특별시 성동구 사근동 199"|"중앙하이츠"|2|270|"1989-09-12"|0|1|0|1|33000000|32181818.181818|30454545.454545
"11200100000228"|"1120010700103470000"|"서울특별시 성동구 행당동 347"|"대림e-편한세상"|31|2399|"2000-12-30"|0|25|0|1|56026617.826618|48615167.47857|49910417.068312
"11200100000229"|"1120010700103450000"|"서울특별시 성동구 행당동 345"|"두산"|2|251|"1997-07-04"|0|1|0|1|52222222.222222|41127730.294397|
"11200100000231"|"1120010700103440000"|"서울특별시 성동구 행당동 344"|"신동아"|9|636|"1995-05-22"|0|9|0|1|49766246.099579|44370027.556984|45277777.777778
"11200100000232"|"1120010700103460000"|"서울특별시 성동구 행당동 346"|"행당한진타운"|21|2123|"2000-11-07"|0|15|0|1|62433007.733008|51903903.903904|50574852.683548
"11200100000234"|"1120010700103490000"|"서울특별시 성동구 행당동 349"|"서울숲한신더휴"|19|1410|"2003-12-23"|0|15|0|1|60810549.450549|54840155.400155|54529253.154253
"11200100000237"|"1120010800100980000"|"서울특별시 성동구 응봉동 98"|"금호현대"|9|644|"1990-09-20"|0|3|0|1|55833333.333333|43928571.428571|46333333.333333
"11200100000238"|"1120010800100970000"|"서울특별시 성동구 응봉동 97"|"대림(2차)"|3|410|"1989-09-21"|1|2|0.333333|0.666667|46039886.039886|44909829.059829|48222222.222222
"11200100000239"|"1120010800100150000"|"서울특별시 성동구 응봉동 15"|"대림강변타운"|14|1150|"2001-10-26"|0|11|0|1|66310356.310356|58241504.649197|58152537.938252
"11200100000240"|"1120010800102750000"|"서울특별시 성동구 응봉동 275"|"신동아"|4|434|"1996-04-09"|0|11|0|1|43586495.629974|41749311.599973|41984126.984127
