"HSMP_INNB","PNU","LNNO_ADRES","POTVALE_IFRA_HSMP_NM","DONG_CNT","NMHSH","USE_APRV_YMD","DRTS_CASCNT","BKAG_CASCNT","DRTS_RATE","BKAG_RATE","PCPP","OLYR_PCPP","SMLYC_PCPP"
"31140100016966","3114010100104880013","울산광역시 남구 무거동 488-13","옥현으뜸마을주공3",18,1412,"2001-11-05",0,8,0,1,16909188.034188,16189882.622791,15509615.384615
"31140100016971","3114010200101830000","울산광역시 남구 옥동 183","고려청구",1,143,"1991-09-14",0,1,0,1,9923076.923077,9615384.615385,9615384.615385
"31140100016975","3114010200113850004","울산광역시 남구 옥동 1385-4","도성타운",5,516,"1991-04-06",0,1,0,1,8695652.173913,9501013.095381,
"31140100016976","3114010200113860000","울산광역시 남구 옥동 1386","도성",11,678,"1987-04-01",0,2,0,1,13515686.27451,14191111.111111,
"31140100016977","3114010200101290006","울산광역시 남구 옥동 129-6","대공원현대",3,499,"1992-02-27",1,2,0.333333,0.666667,14769619.269619,15203177.031302,13333333.333333
"31140100016981","3114010200102550002","울산광역시 남구 옥동 255-2","옥동삼익",3,299,"1999-05-13",0,5,0,1,23277777.777778,22556157.089205,23135683.760684
"31140100016983","3114010200102000000","울산광역시 남구 옥동 200","상아파크",1,108,"1994-09-23",0,1,0,1,10833333.333333,8888888.888889,
"31140100016986","3114010200102570000","울산광역시 남구 옥동 257","옥동서광",3,413,"1998-12-29",0,5,0,1,23544444.444444,22318017.265386,22192307.692308
"31140100016987","3114010200101910058","울산광역시 남구 옥동 191-58","성도",1,332,"1997-12-29",1,1,0.5,0.5,13903846.153846,13857549.85755,14333333.333333
"31140100016990","3114010200101270001","울산광역시 남구 옥동 127-1","그랜드파크",1,126,"1990-07-27",0,1,0,1,11318181.818182,,
"31140100016991","3114010200101440001","울산광역시 남구 옥동 144-1","대공원숲",1,110,"1991-02-08",0,1,0,1,11000000,10416666.666667,
"31140100016996","3114010200102680000","울산광역시 남구 옥동 268","한라한솔타운",1,186,"1998-06-02",0,1,0,1,22804878.04878,25665937.043986,25555555.555556
"31140100016998","3114010200105810006","울산광역시 남구 옥동 581-6","한진전원1차",1,40,"1994-08-27",1,0,1,0,9277777.777778,,
"31140100017001","3114010200101570005","울산광역시 남구 옥동 157-5","대륙현대1차",2,225,"1989-12-13",1,1,0.5,0.5,13423076.923077,14722222.222222,
"31140100017006","3114010400115910000","울산광역시 남구 신정동 1591","금탑",2,109,"1982-12-24",0,1,0,1,17647058.823529,,
"31140100017040","3114010400108510021","울산광역시 남구 신정동 851-21","신정현대홈타운3",4,929,"2001-11-15",0,4,0,1,15826037.851038,15246148.802888,15973931.623932
"31140100017045","3114010400116220001","울산광역시 남구 신정동 1622-1","오성",1,50,"1982-12-24",1,0,1,0,25000000,,
"31140100017046","3114010400118240003","울산광역시 남구 신정동 1824-3","올림푸스",3,95,"1986-01-28",0,2,0,1,11281733.74613,11470588.235294,
"31140100017047","3114010400116560001","울산광역시 남구 신정동 1656-1","올림푸스골든(1656-1)",2,219,"1988-02-02",0,3,0,1,15038461.538462,14107142.857143,
